"id","longitude","latitude"
1,5.4538972077,43.2259343650
2,5.4609286687,43.2167260690
3,5.4720402980,43.2207581460
4,5.4737164875,43.2294823040
5,5.4590314667,43.2363897360
6,5.4508492317,43.2492434663
7,5.4596673926,43.2574246913
8,5.4451959402,43.2572770649
9,5.4751166833,43.2104964770
10,5.4217913910,43.2243735953
11,5.3863717715,43.2182097923
12,5.4898824519,43.2539701350
13,5.4695735009,43.2452927512
14,5.3678575129,43.2176651368
15,5.3700032115,43.2255230555
16,5.4241123056,43.2145114767
17,5.4909688190,43.2640414167
18,5.4594751987,43.2651441089
19,5.4758265752,43.2786768808
20,5.4982780765,43.2071054284
